english,gemma2:9b_rag,gemma2:9b_rag_scores,gemma2:9b_std,gemma2:9b_std_scores
This website uses cookies,Esta página web usa cookies,0.8812519907951355,Este sitio web utiliza cookies.,0.937944769859314
"We use cookies to personalise content and ads, to provide social media features and to analyse our traffic. We also share information about your use of our site with our social media, advertising and analytics partners who may combine it with other information that you’ve provided to them or that they’ve collected from your use of their services. By clicking ""ALLOW ALL COOKIES"" you consent to our Cookie Policy and Privacy Policy .","Las cookies de este sitio web se usan para personalizar el contenido y los anuncios, ofrecer funciones de redes sociales y analizar el tráfico. Además, compartimos información sobre el uso que haga del sitio web con nuestros partners de redes sociales, publicidad y análisis web, quienes pueden combinarla con otra información que les haya proporcionado o que hayan recopilado a partir del uso que haya hecho de sus servicios. Al hacer clic en ""PERMITIR TODAS LAS COOKIES"", acepta nuestra Política de cookies y privacidad .",0.5468190312385559,"Utilizamos cookies para personalizar el contenido y los anuncios, proporcionar funciones de redes sociales y analizar nuestro tráfico. También compartimos información sobre el uso que hace de nuestro sitio con nuestros socios de redes sociales, publicidad y análisis, quienes pueden combinarla con otra información que usted les haya proporcionado o que hayan recopilado a partir del uso que haga de sus servicios. Al hacer clic en ""PERMITIR TODAS LAS COOKIES"", consiente nuestra Política de Cookies y nuestra Política de Privacidad.",0.5658482909202576
Necessary,Necesario,0.522966206073761,Necesario,0.522966206073761
Preferences,Preferencias,0.5342353582382202,Preferencias,0.5342353582382202
Statistics,Estadística,0.35343536734580994,Estadísticas,0.657619297504425
Marketing,Marketing,0.7926979660987854,Marketing,0.7926979660987854
Removes 90% of hair in 4 uses,Elimina el 90% del vello en 4 usos,0.23483295738697052,Elimina el 90% del pelo en 4 usos.,0.29720425605773926
The world's leading IPL hair removal,El líder mundial en depilación IPL,0.10036531090736389,El líder mundial en eliminación de vello con IPL,0.11472335457801819
"PEACH™ 2 Pro Max is the ultimate at-home solution for clinical-grade hair removal. Its professional-sized treatment window covers more skin, so treatments take less time. With supreme power clinically proven to remove 90% of hair in just 1 month, it’s the leading innovation in at-home hair removal.","PEACH™ 2 Pro Max es la solución definitiva para la depilación de nivel clínico desde casa. Su ventana de tratamiento de tamaño profesional cubre más piel, por lo que los tratamientos toman menos tiempo. Con un poder supremo clínicamente comprobado para eliminar el 90% del vello en solo 1 mes, es la innovación líder en depilación en casa.",0.2233680784702301,"PEACH™ 2 Pro Max es la solución definitiva para la eliminación de pelo en casa con tecnología clínica. Su ventana de tratamiento de tamaño profesional cubre más piel, por lo que los tratamientos duran menos tiempo. Con potencia suprema clínicamente probada para eliminar el 90% del vello en tan solo 1 mes, es la innovación líder en eliminación de vello en casa.",0.15911583602428436
"The advanced cooling system blows air onto the skin for painless sessions, while the protective silicone shield molds to your body, ensuring seamless contact and fewer missed spots for the most precise results possible. Professional. Powerful. Perfect.","El avanzado sistema de enfriamiento sopla aire sobre la piel para sesiones sin dolor, mientras que el protector de silicona moldeable se adapta a tu cuerpo, asegurando un contacto perfecto y menos zonas omitidas para obtener los resultados más precisos posibles. Profesional. Poderoso. Perfecto.",0.4401598274707794,"El avanzado sistema de refrigeración sopla aire sobre la piel para sesiones indoloras, mientras que el protector de silicona se adapta a tu cuerpo, asegurando un contacto perfecto y menos zonas omitidas para obtener los resultados más precisos posibles. Profesional. Poderoso. Perfecto.",0.4750572443008423
